,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.914798206278027,0.8869565217391304,0.9444444444444444,102,13,516,6
1,桂枝,0.9716446124763705,0.9961240310077519,0.948339483394834,257,1,365,14
2,荊芥,0.5333333333333333,0.36363636363636365,1.0,20,35,582,0
3,防風,0.6788990825688073,0.5138888888888888,1.0,37,35,565,0
4,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
5,白芷,0.3111111111111111,0.18421052631578946,1.0,7,31,599,0
6,生薑,0.9187817258883249,0.8537735849056604,0.9945054945054945,181,31,424,1
7,辛夷,0.6382978723404256,0.46875,1.0,30,34,573,0
8,葛根,0.41935483870967744,0.2653061224489796,1.0,13,36,588,0
9,升麻,1.0,1.0,1.0,8,0,629,0
10,柴胡,0.982716049382716,0.995,0.9707317073170731,199,1,431,6
11,蟬蛻,0.4918032786885246,0.32608695652173914,1.0,15,31,591,0
12,石膏,0.9257142857142856,0.8901098901098901,0.9642857142857143,81,10,543,3
13,知母,0.9619047619047619,0.9528301886792453,0.9711538461538461,101,5,528,3
14,梔子,0.9600000000000001,0.9230769230769231,1.0,48,4,585,0
15,天花粉,1.0,1.0,1.0,13,0,624,0
16,夏枯草,0.3404255319148936,0.20512820512820512,1.0,8,31,598,0
17,決明子,0.375,0.23076923076923078,1.0,9,30,598,0
18,生地,0.9589041095890412,0.9333333333333333,0.9859154929577465,70,5,561,1
19,牡丹皮,1.0,1.0,1.0,7,0,630,0
20,連翹,0.9642857142857143,0.9642857142857143,0.9642857142857143,27,1,608,1
21,射干,0.9444444444444444,0.8947368421052632,1.0,17,2,618,0
22,黃連,0.9857142857142858,0.9857142857142858,0.9857142857142858,138,2,495,2
23,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
24,黃柏,0.9247311827956989,0.8775510204081632,0.9772727272727273,43,6,587,1
25,龍膽草,0.9647058823529412,0.9534883720930233,0.9761904761904762,82,4,549,2
26,大黃,0.8705882352941177,0.7708333333333334,1.0,111,33,493,0
27,芒硝,0.9767441860465116,0.9767441860465116,0.9767441860465116,42,1,593,1
28,防己,0.98989898989899,1.0,0.98,49,0,587,1
29,秦艽,0.20512820512820512,0.11428571428571428,1.0,4,31,602,0
30,絡石藤,1.0,1.0,1.0,7,0,630,0
31,蒼朮,0.7317073170731707,0.5769230769230769,1.0,45,33,559,0
32,草果,1.0,1.0,1.0,6,0,631,0
33,茯苓,0.9683698296836984,0.9802955665024631,0.9567307692307693,199,4,425,9
34,豬苓,0.9365079365079365,0.9365079365079365,0.9365079365079365,59,4,570,4
35,薏苡仁,0.30434782608695654,0.1794871794871795,1.0,7,32,598,0
36,海金砂,1.0,1.0,1.0,5,0,632,0
37,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
38,車前子,1.0,1.0,1.0,5,0,632,0
39,滑石,0.5641025641025641,0.39285714285714285,1.0,22,34,581,0
40,木通,1.0,1.0,1.0,53,0,584,0
41,通草,1.0,1.0,1.0,3,0,634,0
42,赤小豆,1.0,1.0,1.0,11,0,626,0
43,燈心草,0.27906976744186046,0.16216216216216217,1.0,6,31,600,0
44,乾薑,0.9818181818181817,0.9782608695652174,0.9854014598540146,135,3,497,2
45,附子,0.9775280898876405,0.981203007518797,0.9738805970149254,261,5,364,7
46,吳茱萸,1.0,1.0,1.0,61,0,576,0
47,枳實,0.9784946236559139,0.9891304347826086,0.9680851063829787,91,1,542,3
48,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
49,厚朴,0.9625668449197862,0.967741935483871,0.9574468085106383,90,3,540,4
50,大腹皮,0.27906976744186046,0.16216216216216217,1.0,6,31,600,0
51,青皮,0.923076923076923,0.8571428571428571,1.0,12,2,623,0
52,薤白,1.0,1.0,1.0,13,0,624,0
53,麥芽,0.9634146341463414,0.9753086419753086,0.9518072289156626,79,2,552,4
54,側柏葉,1.0,1.0,1.0,31,0,606,0
55,槐花,1.0,1.0,1.0,12,0,625,0
56,三七,1.0,1.0,1.0,8,0,629,0
57,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
58,川芎,0.9653179190751445,0.9653179190751445,0.9653179190751445,167,6,458,6
59,乳香,1.0,1.0,1.0,9,0,628,0
60,延胡索,0.9411764705882353,0.8888888888888888,1.0,8,1,628,0
61,鬱金,0.9836065573770493,0.9782608695652174,0.989010989010989,90,2,544,1
62,紅花,1.0,1.0,1.0,6,0,631,0
63,桃仁,0.9135802469135803,0.8409090909090909,1.0,37,7,593,0
64,牛膝,0.9787234042553191,1.0,0.9583333333333334,23,0,613,1
65,半夏,0.9396825396825397,0.9079754601226994,0.9736842105263158,148,15,470,4
66,白附子,0.9361702127659574,0.9166666666666666,0.9565217391304348,22,2,612,1
67,桔梗,0.923076923076923,0.8571428571428571,1.0,30,5,602,0
68,旋覆花,0.9902912621359222,0.9807692307692307,1.0,51,1,585,0
69,瓜蔞,1.0,1.0,1.0,11,0,626,0
70,海藻,0.9473684210526316,1.0,0.9,18,0,617,2
71,杏仁,0.8,0.6666666666666666,1.0,68,34,535,0
72,紫菀,0.9090909090909091,0.8333333333333334,1.0,10,2,625,0
73,龍骨,0.975609756097561,0.975609756097561,0.975609756097561,40,1,595,1
74,牡蠣,0.9523809523809524,0.9900990099009901,0.9174311926605505,100,1,527,9
75,酸棗仁,0.07261724659606655,0.03767660910518053,1.0,24,613,0,0
76,遠志,0.6382978723404256,1.0,0.46875,15,0,605,17
77,小麥,0.35294117647058826,0.225,0.8181818181818182,9,31,595,2
78,代赭石,0.8672566371681416,0.9607843137254902,0.7903225806451613,49,2,573,13
79,黃耆,0.375,0.9,0.23684210526315788,9,1,598,29
80,白朮,0.956268221574344,0.9939393939393939,0.9213483146067416,164,1,458,14
81,大棗,0.8647058823529411,0.8305084745762712,0.901840490797546,147,30,444,16
82,甘草,0.9688385269121814,0.991304347826087,0.9473684210526315,342,3,273,19
83,巴戟天,0.7804878048780488,0.8888888888888888,0.6956521739130435,16,2,612,7
84,補骨脂,0.964169381107492,0.9801324503311258,0.9487179487179487,148,3,478,8
85,益智仁,1.0,1.0,1.0,6,0,631,0
86,陽起石,0.9041095890410958,1.0,0.825,33,0,597,7
87,續斷,0.5333333333333333,1.0,0.36363636363636365,4,0,626,7
88,杜仲,0.5,1.0,0.3333333333333333,5,0,622,10
89,何首烏,0.7407407407407407,1.0,0.5882352941176471,10,0,620,7
90,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
91,白芍,0.9516837481698389,0.9103641456582633,0.9969325153374233,325,32,279,1
92,阿膠,0.9512195121951219,0.9629629629629629,0.9397590361445783,78,3,551,5
93,西洋參,0.3076923076923077,0.25,0.4,2,6,626,3
94,龜板,0.5744680851063829,0.40298507462686567,1.0,27,40,570,0
95,鱉甲,0.8,1.0,0.6666666666666666,24,0,601,12
96,山茱萸,0.2857142857142857,1.0,0.16666666666666666,2,0,625,10
97,覆盆子,0.0,0.0,0.0,0,0,630,7
98,五味子,0.0,0.0,0.0,0,0,614,23
99,烏梅,0.0,0.0,0.0,0,0,628,9
100,五倍子,0.03091190108191653,0.015698587127158554,1.0,10,627,0,0
101,炙甘草,0.9674796747967479,1.0,0.937007874015748,357,0,256,24
102,overall,0.8439969411164925,0.7614995400183993,0.9465408805031447,6622,2074,55904,374
